id,Data e hora da consulta,Título,Preço,Link
0,20/03/2022 | 16:23,Apple iPhone SE (2a geração) 128 GB - (PRODUCT)RED,R$3.399,https://www.mercadolivre.com.br/apple-iphone-se-2a-geraco-128-gb-productred/p/MLB15591336?pdp_filters=category:MLB1055#searchVariation=MLB15591336&position=1&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
1,20/03/2022 | 16:23,iPhone 7 Plus 128 GB prateado,R$2.199,https://www.mercadolivre.com.br/iphone-7-plus-128-gb-prateado/p/MLB6240136?pdp_filters=category:MLB1055#searchVariation=MLB6240136&position=2&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
2,20/03/2022 | 16:23, iPhone 8 64 GB cinza-espacial,R$1.950,https://www.mercadolivre.com.br/iphone-8-64-gb-cinza-espacial/p/MLB8752432?pdp_filters=category:MLB1055#searchVariation=MLB8752432&position=3&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
3,20/03/2022 | 16:23,Apple iPhone 12 Pro (128 GB) - Azul-pacífico,R$7.849,https://www.mercadolivre.com.br/apple-iphone-12-pro-128-gb-azul-pacifico/p/MLB16163682?pdp_filters=category:MLB1055#searchVariation=MLB16163682&position=4&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
4,20/03/2022 | 16:23, iPhone 7 128 GB prateado,R$1.623,https://www.mercadolivre.com.br/iphone-7-128-gb-prateado/p/MLB6240120?pdp_filters=category:MLB1055#searchVariation=MLB6240120&position=5&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
5,20/03/2022 | 16:23,Apple iPhone 12 (64 GB) - Preto,R$4.999,https://www.mercadolivre.com.br/apple-iphone-12-64-gb-preto/p/MLB16163648?pdp_filters=category:MLB1055#searchVariation=MLB16163648&position=6&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
6,20/03/2022 | 16:23,Apple iPhone 8 Plus 64 Gb Vitrine + Brinde Envio Imediato,R$2.498,https://produto.mercadolivre.com.br/MLB-1513474965-apple-iphone-8-plus-64-gb-vitrine-brinde-envio-imediato-_JM?searchVariation=73620144547#searchVariation=73620144547&position=21&search_layout=stack&type=item&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
7,20/03/2022 | 16:23,Apple iPhone 11 (128 GB) - Verde,R$4.449,https://www.mercadolivre.com.br/apple-iphone-11-128-gb-verde/p/MLB15149569?pdp_filters=category:MLB1055#searchVariation=MLB15149569&position=7&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
8,20/03/2022 | 16:23, iPhone XS 64 GB cinza-espacial,R$3.999,https://www.mercadolivre.com.br/iphone-xs-64-gb-cinza-espacial/p/MLB12866564?pdp_filters=category:MLB1055#searchVariation=MLB12866564&position=8&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
9,20/03/2022 | 16:23,Apple iPhone 12 Pro (256 GB) - Prateado,R$10.999,https://www.mercadolivre.com.br/apple-iphone-12-pro-256-gb-prateado/p/MLB16163684?pdp_filters=category:MLB1055#searchVariation=MLB16163684&position=9&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
10,20/03/2022 | 16:23,Samsung Galaxy A32 Dual SIM 128 GB preto 4 GB RAM,R$1.512,https://www.mercadolivre.com.br/samsung-galaxy-a32-dual-sim-128-gb-preto-4-gb-ram/p/MLB17465171?pdp_filters=category:MLB1055#searchVariation=MLB17465171&position=10&search_layout=stack&type=product&tracking_id=2df197d3-9c2c-486e-ad34-7167742735f5
